Element,Neutral,Earth,Water,Fire,Wind,Poison,Undead,Dark,Holy,Ghost,Special,None
Neutral1,100,100,100,100,100,110,110,100,100,75,100,0
Neutral2,100,100,100,100,100,110,110,100,100,50,100,0
Neutral3,100,100,100,100,100,110,110,100,100,25,100,0
Neutral4,100,100,100,100,100,110,110,100,100,0,100,0
Earth1,100,75,100,150,80,125,100,100,100,100,100,0
Earth2,100,50,100,175,60,125,100,90,100,100,100,0
Earth3,100,25,100,200,40,125,100,80,90,100,100,0
Earth4,100,0,100,200,20,125,100,70,80,100,100,0
Water1,100,100,75,80,125,100,100,100,100,100,100,0
Water2,100,100,50,60,150,80,100,90,100,100,100,0
Water3,100,100,25,40,175,60,100,80,90,100,100,0
Water4,100,100,0,20,200,40,100,70,80,100,100,0
Fire1,100,80,125,50,100,125,100,100,100,100,100,0
Fire2,100,60,150,25,100,125,100,90,100,100,100,0
Fire3,100,40,175,5,100,125,100,80,90,100,100,0
Fire4,100,20,200,0,100,125,100,70,80,100,100,0
Wind1,100,125,80,100,75,125,100,100,100,100,100,0
Wind2,100,150,60,100,50,125,100,90,100,100,100,0
Wind3,100,175,40,100,25,125,100,80,90,100,100,0
Wind4,100,200,20,100,0,125,100,70,80,100,100,0
Poison1,100,100,100,100,100,75,100,100,110,100,100,0
Poison2,100,90,90,90,90,50,90,90,120,80,100,0
Poison3,100,80,80,80,80,25,80,80,130,60,100,0
Poison4,100,70,70,70,70,0,70,70,140,40,100,0
Undead1,100,90,110,125,100,80,75,100,125,110,100,0
Undead2,100,80,120,150,100,60,50,90,150,110,100,0
Undead3,100,70,130,175,100,40,25,80,175,110,100,0
Undead4,100,60,140,200,100,20,0,70,200,110,100,0
Dark1,100,100,100,100,100,100,100,75,125,75,100,0
Dark2,100,90,90,90,90,90,90,50,150,50,100,0
Dark3,100,80,80,80,80,80,80,25,175,25,100,0
Dark4,100,70,70,70,70,70,70,0,200,0,100,0
Holy1,100,80,80,80,80,110,125,125,75,80,100,0
Holy2,100,60,60,60,60,120,150,150,50,60,100,0
Holy3,100,40,40,40,40,130,175,175,25,40,100,0
Holy4,100,20,20,20,20,140,200,200,0,20,100,0
Ghost1,75,100,100,100,100,80,110,100,100,125,100,0
Ghost2,50,100,100,100,100,60,110,100,100,150,100,0
Ghost3,25,100,100,100,100,40,110,100,100,175,100,0
Ghost4,0,100,100,100,100,20,110,100,100,200,100,0
None,100,100,100,100,100,100,100,100,100,100,100,0
