Id,Name,TypeFlags,Description,DisplayScale
0,None,None,"NONE",1
1,AddMaxHp,HP,"MaxHP {modifierValue}",1
2,AddMaxHpPercent,HP,"MaxHP {modifierValue}%",1
3,AddMaxSp,SP,"MaxSP {modifierValue}",1
4,AddMaxSpPercent,SP,"MaxSP {modifierValue}%",1
5,AspdBonus,Speed,"ASPD {modifierValue}%",1
6,MoveSpeedBonus,Speed,"Movement Speed  {modifierValue}%",1
7,AddStr,Attribute,"STR {modifierValue}",1
8,AddAgi,Attribute,"AGI {modifierValue}",1
9,AddDex,Attribute,"DEX {modifierValue}",1
10,AddInt,Attribute,"INT {modifierValue}",1
11,AddVit,Attribute,"VIT {modifierValue}",1
12,AddLuk,Attribute,"LUK {modifierValue}",1
13,AddDef,Defense,"DEF {modifierValue}",1
14,AddMDef,Defense,"MDEF {modifierValue}",1
15,AddSoftDefPercent,Defense,"VIT DEF {modifierValue}%",1
16,AddFlee,Defense,"FLEE {modifierValue}",1
17,AddHit,Attack,"HIT {modifierValue}",1
18,AddAttackPercent,Attack,"ATK {modifierValue}%",1
19,AddMagicAttackPercent,Caster,"MATK {modifierValue}%",1
20,AddAttackPower,Attack,"ATK {modifierValue}",1
21,AddMagicAttackPower,Caster,"MATK {modifierValue}",1
22,AddDefPercent,Defense,"DEF {modifierValue}%",1
23,AddMDefPercent,Defense,"MDEF {modifierValue}%",1
24,DoubleAttackChance,Attack,"{modifierValue}% chance to Double Attack",1
25,AddSpRecoveryPercent,SP,"SP Recovery {modifierValue}%",1
26,AddHpRecoveryPercent,HP,"HP Recovery {modifierValue}%",1
27,PerfectDodge,Defense,"Perfect Dodge {modifierValue}",1
28,AddCrit,Crit,"CRIT {modifierValue}",1
29,AddCritDamage,Crit,"Critical Damage {modifierValue}%",1
30,AddCastTime,Speed,"Cast Time {modifierValue}%",1
31,AddAttackElementNeutral,Elemental | Attack,"{modifierValue}% ATK against Neutral Property",1
32,AddAttackElementEarth,Elemental | Attack,"{modifierValue}% ATK against Earth Property",1
33,AddAttackElementWater,Elemental | Attack,"{modifierValue}% ATK against Water Property",1
34,AddAttackElementFire,Elemental | Attack,"{modifierValue}% ATK against Fire Property",1
35,AddAttackElementWind,Elemental | Attack,"{modifierValue}% ATK against Wind Property",1
36,AddAttackElementPoison,Elemental | Attack,"{modifierValue}% ATK against Poison Property",1
37,AddAttackElementUndead,Elemental | Attack,"{modifierValue}% ATK against Undead Property",1
38,AddAttackElementDark,Elemental | Attack,"{modifierValue}% ATK against Dark Property",1
39,AddAttackElementHoly,Elemental | Attack,"{modifierValue}% ATK against Holy Property",1
40,AddAttackElementGhost,Elemental | Attack,"{modifierValue}% ATK against Ghost Property",1
41,AddResistElementNeutral,Elemental | Resistance,"Neutral Resistance {modifierValue}%",1
42,AddResistElementEarth,Elemental | Resistance,"Earth Resistance {modifierValue}%",1
43,AddResistElementWater,Elemental | Resistance,"Water Resistance {modifierValue}%",1
44,AddResistElementFire,Elemental | Resistance,"Fire Resistance {modifierValue}%",1
45,AddResistElementWind,Elemental | Resistance,"Wind Resistance {modifierValue}%",1
46,AddResistElementPoison,Elemental | Resistance,"Poison Resistance {modifierValue}%",1
47,AddResistElementUndead,Elemental | Resistance,"Undead Resistance {modifierValue}%",1
48,AddResistElementDark,Elemental | Resistance,"Dark Resistance {modifierValue}%",1
49,AddResistElementHoly,Elemental | Resistance,"Holy Resistance {modifierValue}%",1
50,AddResistElementGhost,Elemental | Resistance,"Ghost Resistance {modifierValue}%",1
51,AddAttackRaceFormless,Racial | Attack,"{modifierValue}% ATK against Formless",1
52,AddAttackRaceDemihuman,Racial | Attack,"{modifierValue}% ATK against Demi-Humans",1
53,AddAttackRaceBeast,Racial | Attack,"{modifierValue}% ATK against Beasts",1
54,AddAttackRaceInsect,Racial | Attack,"{modifierValue}% ATK against Insects",1
55,AddAttackRaceAngel,Racial | Attack,"{modifierValue}% ATK against Angels",1
56,AddAttackRaceDragon,Racial | Attack,"{modifierValue}% ATK against Dragons",1
57,AddAttackRaceAquatic,Racial | Attack,"{modifierValue}% ATK against Aquatics",1
58,AddAttackRacePlant,Racial | Attack,"{modifierValue}% ATK against Plants",1
59,AddAttackRaceDemon,Racial | Attack,"{modifierValue}% ATK against Demons",1
60,AddAttackRaceUndead,Racial | Attack,"{modifierValue}% ATK against Undead",1
61,AddCritChanceRaceFormless,Racial | Crit,"{modifierValue} CRIT against Formless",1
62,AddCritChanceRaceDemihuman,Racial | Crit,"{modifierValue} CRIT against Demi-Humans",1
63,AddCritChanceRaceBeast,Racial | Crit,"{modifierValue} CRIT against Beasts",1
64,AddCritChanceRaceInsect,Racial | Crit,"{modifierValue} CRIT against Insects",1
65,AddCritChanceRaceAngel,Racial | Crit,"{modifierValue} CRIT against Angels",1
66,AddCritChanceRaceDragon,Racial | Crit,"{modifierValue} CRIT against Dragons",1
67,AddCritChanceRaceAquatic,Racial | Crit,"{modifierValue} CRIT against Aquatics",1
68,AddCritChanceRacePlant,Racial | Crit,"{modifierValue} CRIT against Plants",1
69,AddCritChanceRaceDemon,Racial | Crit,"{modifierValue} CRIT against Demons",1
70,AddCritChanceRaceUndead,Racial | Crit,"{modifierValue} CRIT against Undead",1
71,AddCritDamageRaceFormless,Racial | Crit,"{modifierValue}% Critical Damage against Formless",1
72,AddCritDamageRaceDemihuman,Racial | Crit,"{modifierValue}% Critical Damage against Demi-Humans",1
73,AddCritDamageRaceBeast,Racial | Crit,"{modifierValue}% Critical Damage against Beasts",1
74,AddCritDamageRaceInsect,Racial | Crit,"{modifierValue}% Critical Damage against Insects",1
75,AddCritDamageRaceAngel,Racial | Crit,"{modifierValue}% Critical Damage against Angels",1
76,AddCritDamageRaceDragon,Racial | Crit,"{modifierValue}% Critical Damage against Dragons",1
77,AddCritDamageRaceAquatic,Racial | Crit,"{modifierValue}% Critical Damage against Aquatics",1
78,AddCritDamageRacePlant,Racial | Crit,"{modifierValue}% Critical Damage against Plants",1
79,AddCritDamageRaceDemon,Racial | Crit,"{modifierValue}% Critical Damage against Demons",1
80,AddCritDamageRaceUndead,Racial | Crit,"{modifierValue}% Critical Damage against Undead",1
81,AddResistRaceFormless,Racial | Resistance,"{modifierValue}% Resistance against Formless",1
82,AddResistRaceDemihuman,Racial | Resistance,"{modifierValue}% Resistance against Demi-Humans",1
83,AddResistRaceBeast,Racial | Resistance,"{modifierValue}% Resistance against Beasts",1
84,AddResistRaceInsect,Racial | Resistance,"{modifierValue}% Resistance against Insects",1
85,AddResistRaceAngel,Racial | Resistance,"{modifierValue}% Resistance against Angels",1
86,AddResistRaceDragon,Racial | Resistance,"{modifierValue}% Resistance against Dragons",1
87,AddResistRaceAquatic,Racial | Resistance,"{modifierValue}% Resistance against Aquatics",1
88,AddResistRacePlant,Racial | Resistance,"{modifierValue}% Resistance against Plants",1
89,AddResistRaceDemon,Racial | Resistance,"{modifierValue}% Resistance against Demons",1
90,AddResistRaceUndead,Racial | Resistance,"{modifierValue}% Resistance against Undead",1
91,AddExpRaceFormless,Racial,"{modifierValue}% EXP from Formless",1
92,AddExpRaceDemihuman,Racial,"{modifierValue}% EXP from Demi-Humans",1
93,AddExpRaceBeast,Racial,"{modifierValue}% EXP from Beasts",1
94,AddExpRaceInsect,Racial,"{modifierValue}% EXP from Insects",1
95,AddExpRaceAngel,Racial,"{modifierValue}% EXP from Angels",1
96,AddExpRaceDragon,Racial,"{modifierValue}% EXP from Dragons",1
97,AddExpRaceAquatic,Racial,"{modifierValue}% EXP from Aquatics",1
98,AddExpRacePlant,Racial,"{modifierValue}% EXP from Plants",1
99,AddExpRaceDemon,Racial,"{modifierValue}% EXP from Demons",1
100,AddExpRaceUndead,Racial,"{modifierValue}% EXP from Undead",1
101,AddAttackSpecialNormal,Attack,"{modifierValue}% ATK against Normal Enemies",1
102,AddAttackSpecialBoss,Attack,"{modifierValue}% ATK against Bosses",1
103,AddAttackRangedAttack,Attack,"{modifierValue}% Ranged ATK",1
104,AddAttackSmallSize,Attack | Size,"{modifierValue}% ATK against Small Enemies",1
105,AddAttackMidSize,Attack | Size,"{modifierValue}% ATK against Medium Enemies",1
106,AddAttackLargeSize,Attack | Size,"{modifierValue}% ATK against Large Enemies",1
107,AddResistSpecialNormal,Resistance,"{modifierValue}% Resistance against Normal Enemies",1
108,AddResistSpecialBoss,Resistance,"{modifierValue}% Resistance against Bosses",1
109,AddResistRangedAttack,Resistance,"{modifierValue}% Resistance against Ranged Damage",1
110,AddResistSmallSize,Resistance | Size,"{modifierValue}% Resistance against Small Enemies",1
111,AddResistMidSize,Resistance | Size,"{modifierValue}% Resistance against Medium Enemies",1
112,AddResistLargeSize,Resistance | Size,"{modifierValue}% Resistance against Large Enemies",1
113,IgnoreDefRaceFormless,Racial | Defense,"Ignore {modifierValue}% DEF against Formless",1
114,IgnoreDefRaceDemihuman,Racial | Defense,"Ignore {modifierValue}% DEF against Demi-Humans",1
115,IgnoreDefRaceBeast,Racial | Defense,"Ignore {modifierValue}% DEF against Beasts",1
116,IgnoreDefRaceInsect,Racial | Defense,"Ignore {modifierValue}% DEF against Insects",1
117,IgnoreDefRaceAngel,Racial | Defense,"Ignore {modifierValue}% DEF against Angels",1
118,IgnoreDefRaceDragon,Racial | Defense,"Ignore {modifierValue}% DEF against Dragons",1
119,IgnoreDefRaceAquatic,Racial | Defense,"Ignore {modifierValue}% DEF against Aquatics",1
120,IgnoreDefRacePlant,Racial | Defense,"Ignore {modifierValue}% DEF against Plants",1
121,IgnoreDefRaceDemon,Racial | Defense,"Ignore {modifierValue}% DEF against Demons",1
122,IgnoreDefRaceUndead,Racial | Defense,"Ignore {modifierValue}% DEF against Undead",1
123,IgnoreMDefRaceFormless,Racial | Defense,"Ignore {modifierValue}% MDEF against Formless",1
124,IgnoreMDefRaceDemihuman,Racial | Defense,"Ignore {modifierValue}% MDEF against Demi-Humans",1
125,IgnoreMDefRaceBeast,Racial | Defense,"Ignore {modifierValue}% MDEF against Beasts",1
126,IgnoreMDefRaceInsect,Racial | Defense,"Ignore {modifierValue}% MDEF against Insects",1
127,IgnoreMDefRaceAngel,Racial | Defense,"Ignore {modifierValue}% MDEF against Angels",1
128,IgnoreMDefRaceDragon,Racial | Defense,"Ignore {modifierValue}% MDEF against Dragons",1
129,IgnoreMDefRaceAquatic,Racial | Defense,"Ignore {modifierValue}% MDEF against Aquatics",1
130,IgnoreMDefRacePlant,Racial | Defense,"Ignore {modifierValue}% MDEF against Plants",1
131,IgnoreMDefRaceDemon,Racial | Defense,"Ignore {modifierValue}% MDEF against Demons",1
132,IgnoreMDefRaceUndead,Racial | Defense,"Ignore {modifierValue}% MDEF against Undead",1
133,OnMeleeAttackBlind,Status | Attack,"{modifierValue}% Melee Chance to Blind",10
134,OnMeleeAttackSilence,Status | Attack,"{modifierValue}% Melee Chance to Silence",10
135,OnMeleeAttackCurse,Status | Attack,"{modifierValue}% Melee Chance to Curse",10
136,OnMeleeAttackPoison,Status | Attack,"{modifierValue}% Melee Chance to Poison",100
137,OnMeleeAttackConfusion,Status | Attack,"{modifierValue}% Melee Chance to Confuse",10
138,OnMeleeAttackHeavyPoison,Status | Attack,"{modifierValue}% Melee Chance to Heavy Poison",10
139,OnMeleeAttackBleeding,Status | Attack,"{modifierValue}% Melee Chance to Bleed",10
140,OnMeleeAttackStun,Status | Attack,"{modifierValue}% Melee Chance to Stun",10
141,OnMeleeAttackStone,Status | Attack,"{modifierValue}% Melee Chance to Petrify",10
142,OnMeleeAttackFreeze,Status | Attack,"{modifierValue}% Melee Chance to Freeze",10
143,OnMeleeAttackSleep,Status | Attack,"{modifierValue}% Melee Chance to Sleep",10
144,OnRangedAttackBlind,Status | Attack,"{modifierValue}% Ranged Chance to Blind",10
