UniqueItemType,AffixType,ModifierName,Tier,MinLevel,MinValue,MaxValue,Weight
Garment,Prefix,AddMaxHp,0,0,100,200,50
Garment,Prefix,AddMaxSp,0,0,10,20,50
Garment,Prefix,AddDef,0,0,1,3,50
Garment,Prefix,AddMDef,0,0,1,3,50
Garment,Prefix,PerfectDodge,0,0,3,5,50
Garment,Prefix,AddFlee,0,0,5,10,50
Garment,Suffix,ResistFreezeStatus,0,0,45,55,50
Garment,Suffix,AddSpRecoveryPercent,0,0,5,10,50
Garment,Suffix,AddHpRecoveryPercent,0,0,20,30,50
Garment,Suffix,AddLuk,0,0,1,3,50
Garment,Suffix,AddResistElementEarth,0,0,5,10,50
Garment,Suffix,AddResistElementFire,0,0,5,10,50
Garment,Suffix,AddResistElementWater,0,0,5,10,50
Garment,Suffix,AddResistElementWind,0,0,5,10,50
Garment,Suffix,AddResistElementNeutral,0,0,2,5,50
Boots,Prefix,AddMaxHp,0,0,100,200,50
Boots,Prefix,AddMaxSp,0,0,10,20,50
Boots,Prefix,AddDef,0,0,1,3,50
Boots,Prefix,AddMDef,0,0,1,3,50
Boots,Prefix,MoveSpeedBonus,0,0,10,20,50
Boots,Prefix,AddFlee,0,0,5,10,50
Boots,Suffix,ResistSleepStatus,0,0,45,55,50
Boots,Suffix,AddSpRecoveryPercent,0,0,5,10,50
Boots,Suffix,AddHpRecoveryPercent,0,0,20,30,50
Boots,Suffix,AddAgi,0,0,1,3,50
Boots,Suffix,AddResistElementEarth,0,0,5,10,50
Boots,Suffix,AddResistElementFire,0,0,5,10,50
Boots,Suffix,AddResistElementWater,0,0,5,10,50
Boots,Suffix,AddResistElementWind,0,0,5,10,50
Boots,Suffix,AddResistElementNeutral,0,0,2,5,50
Armor,Prefix,AddMaxHp,0,0,150,300,50
Armor,Prefix,AddMaxSp,0,0,15,30,50
Armor,Prefix,AddDef,0,0,2,5,50
Armor,Prefix,AddMDef,0,0,2,5,50
Armor,Prefix,AddFlee,0,0,10,15,50
Armor,Prefix,AddMaxHpPercent,0,0,5,10,50
Armor,Prefix,AddMaxSpPercent,0,0,5,10,50
Armor,Suffix,ResistStunStatus,0,0,45,55,50
Armor,Suffix,AddSpRecoveryPercent,0,0,10,15,50
Armor,Suffix,AddHpRecoveryPercent,0,0,30,50,50
Armor,Suffix,AddVit,0,0,2,5,50
Armor,Suffix,AddResistElementEarth,0,0,10,15,50
Armor,Suffix,AddResistElementFire,0,0,10,15,50
Armor,Suffix,AddResistElementWater,0,0,10,15,50
Armor,Suffix,AddResistElementWind,0,0,10,15,50
Armor,Suffix,AddResistElementNeutral,0,0,5,10,50
Headgear,Prefix,AddMaxHp,0,0,100,200,50
Headgear,Prefix,AddMaxSp,0,0,10,20,50
Headgear,Prefix,AddDef,0,0,1,3,50
Headgear,Prefix,AddMDef,0,0,1,3,50
Headgear,Prefix,AddFlee,0,0,5,10,50
Headgear,Prefix,SpConsumption,0,0,-15,-10,50
Headgear,Suffix,AddInt,0,0,1,3,50
Headgear,Suffix,AddDex,0,0,1,3,50
Headgear,Suffix,AddStr,0,0,1,3,50
Headgear,Suffix,AddHit,0,0,10,15,50
Headgear,Suffix,AddCastTime,0,0,-10,-5,50
Shield,Prefix,AddMaxHp,0,0,100,200,50
Shield,Prefix,AddMaxSp,0,0,10,20,50
Shield,Prefix,AddDef,0,0,1,3,50
Shield,Prefix,AddMDef,0,0,1,3,50
Shield,Prefix,AddFlee,0,0,5,10,50
Shield,Prefix,AddMaxHpPercent,0,0,5,10,50
Shield,Suffix,WhenAttackedStun,0,0,20,40,50
Shield,Suffix,WhenAttackedFreeze,0,0,20,40,50
Shield,Suffix,WhenAttackedSleep,0,0,20,40,50
Shield,Suffix,AddResistElementEarth,0,0,5,10,50
Shield,Suffix,AddResistElementFire,0,0,5,10,50
Shield,Suffix,AddResistElementWater,0,0,5,10,50
Shield,Suffix,AddResistElementWind,0,0,5,10,50
Shield,Suffix,AddResistElementNeutral,0,0,2,5,50
Accessory,Prefix,AddMaxHp,0,0,100,200,50
Accessory,Prefix,AddMaxSp,0,0,10,20,50
Accessory,Prefix,AddAttackPower,0,0,7,15,50
Accessory,Prefix,AddMagicAttackPercent,0,0,2,5,50
Accessory,Prefix,SpConsumption,0,0,-10,-5,50
Accessory,Prefix,PureHpDrain,0,0,5,10,50
Accessory,Suffix,AddStr,0,0,1,3,50
