Id,WeaponClass,FullName,HitSound,DamageSpread
0,Unarmed,Unarmed,_hit_fist1/_hit_fist2/_hit_fist3/_hit_fist4,0
1,Dagger,Dagger,_hit_sword,10
2,Sword,Sword,_hit_sword,20
3,2HSword,Sword (2-Handed),_hit_sword,20
4,Spear,Spear,_hit_spear,40
5,2HSpear,Spear (2-Handed),_hit_spear,40
6,Axe,Axe,_hit_axe,50
7,2HAxe,Axe (2-Handed),_hit_axe,50
8,Mace,Mace,_hit_mace,30
9,2HMace,Mace (2-Handed),_hit_mace,30
10,Rod,Rod,_hit_rod,30
11,2HRod,Rod (2-Handed),_hit_rod,30
12,Bow,Bow,_hit_arrow,35
13,Instrument,Instrument,_hit_mace,35
14,Whip,Whip,_hit_mace,35
15,Book,Book,_hit_mace,15
16,Katar,Katar,_hit_mace,20
17,Pistol,Pistol,_hit_권총,50
18,Rifle,Rifle,_hit_라이플,35
19,GatlingGun,Gatling Gun,_hit_개틀링한발,70
20,Shotgun,Shotgun,_hit_샷건,20
21,Grenade,Grenade Launcher,_hit_그레네이드런쳐,25
22,Shuriken,Huuma Shuriken,_hit_sword,25
